appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,reclassified_genre,game_type
410440,Vertigo Void,2015-10-30,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Casual;Indie,Casual;Indie;Puzzle,34,7,0,Casual,Singleplayer
403270,Cloudrift,2015-10-30,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Leaderboards,Action;Casual;Indie,Action;Indie;Casual,21,1,0,Action,Multiplayer
406300,Lighthockey,2015-10-30,Single-player;Multi-player;Shared/Split Screen,Action;Casual;Indie;Sports,Indie;Casual;Sports,10,3,0,Sports,Multiplayer
38400,Fallout: A Post Nuclear Role Playing Game,2015-11-01,Single-player;Steam Cloud,RPG,RPG;Post-apocalyptic;Classic,6983,643,49,RPG,Singleplayer
329440,Sonic Lost World,2015-11-02,Single-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Adventure,Adventure;Platformer;3D Platformer,1000,612,11,Adventure,Singleplayer
350990,Bloodwood Reload,2015-11-02,Single-player,Adventure;Free to Play;Indie,Free to Play;Horror;Adventure,117,202,2,Adventure,Singleplayer
375910,Anno 2205™,2015-11-02,Single-player;Steam Achievements;Steam Trading Cards,Simulation;Strategy,Strategy;City Builder;Simulation,2141,1245,3613,Simulation,Singleplayer
384690,Umihara Kawase,2015-11-02,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Female Protagonist,76,1,270,Action,Singleplayer
390970,Russian Horror Story,2015-11-02,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual,Visual Novel;Casual;Adventure,497,359,225,Adventure,Singleplayer
393170,Bit Shifter,2015-11-02,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats,Action;Indie;Strategy;Early Access,Early Access;Strategy;Action,25,1,0,Action,Singleplayer
407300,The Last NightMary - A Lenda do Cabeça de Cuia,2015-11-02,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Indie,Indie;Horror;Point & Click,466,119,248,Indie,Singleplayer
408440,Dream Factory,2015-11-02,Single-player;Steam Trading Cards,Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,18,63,0,Strategy,Singleplayer
409920,Brilliant Shadows - Part One of the Book of Gray Magic,2015-11-02,Single-player;Steam Trading Cards,Adventure;Casual;Simulation,Adventure;Visual Novel;Casual,163,10,0,Adventure,Singleplayer
412770,Boogeyman,2015-11-02,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie;Strategy,Horror;Indie;Strategy,297,54,59,Strategy,Singleplayer
413510,The Extinction,2015-11-02,Single-player;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie;Early Access,Early Access;Action;Indie,23,16,0,Action,Singleplayer
415890,Crystal Picnic,2015-11-02,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,Action;Indie;RPG,Action;Indie;RPG,13,9,0,RPG,Singleplayer
415920,Voidspire Tactics,2015-11-02,Single-player;Steam Achievements,Indie;RPG;Strategy,RPG;Indie;Strategy,112,4,0,RPG,Singleplayer
416030,Your Quest,2015-11-02,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,Casual;Free to Play;Indie;RPG;Simulation;Strategy,Indie;Simulation;Strategy,74,55,160,Strategy,Singleplayer
314520,Euro Fishing,2015-11-02,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Simulation;Sports,Fishing;Simulation;Sports,896,571,0,Sports,Multiplayer
362290,The Living Dungeon,2015-11-02,Single-player;Multi-player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,Adventure;Indie;Simulation;Strategy,Strategy;Adventure;Simulation,45,11,0,Simulation,Multiplayer
299600,Dragon Fin Soup,2015-11-03,Single-player;Full controller support,Indie;RPG,RPG;Indie;Rogue-like,158,102,0,RPG,Singleplayer
332620,PONCHO,2015-11-03,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,113,49,0,Adventure,Singleplayer
397570,Shmadow,2015-11-03,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Indie;Action;Bullet Hell,166,34,162,Action,Singleplayer
409690,Pink Heaven,2015-11-03,Single-player;Full controller support,Action;Free to Play;Indie,Free to Play;Indie;Pixel Graphics,574,63,7,Indie,Singleplayer
411390,Getsuei Gakuen -kou-,2015-11-03,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure,Adventure;Anime;Story Rich,15,2,0,Adventure,Singleplayer
414080,Life is Hard,2015-11-03,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;Simulation;Strategy;Early Access,Early Access;Strategy;Indie,339,132,340,Strategy,Singleplayer
403120,THE GAME OF LIFE,2015-11-03,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards,Adventure;Casual;Simulation,Board Game;Multiplayer;Adventure,267,106,467,Adventure,Multiplayer
355980,Dungeon Warfare,2015-11-04,Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Includes level editor,Indie;Strategy,Strategy;Tower Defense;Indie,990,37,770,Strategy,Singleplayer
359620,Call of Cthulhu: Prisoner of Ice,2015-11-04,Single-player,Adventure,Adventure;Point & Click;Lovecraftian,27,10,0,Adventure,Singleplayer
369360,Car Washer: Summer of the Ninja,2015-11-04,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Indie;Action;Casual,12,24,232,Action,Singleplayer
389470,Call of Cthulhu: Shadow of the Comet,2015-11-04,Single-player,Adventure,Adventure;Point & Click;Lovecraftian,25,4,0,Adventure,Singleplayer
405650,Zero Reflex : Black Eye Edition,2015-11-04,Single-player,Action;Indie,Action;Indie;Bullet Hell,176,40,15,Action,Singleplayer
410040,Hope in Hell,2015-11-04,Single-player;Steam Leaderboards,Action;Adventure;Casual;Indie,Indie;Action;Casual,2,8,0,Action,Singleplayer
369270,Megatect,2015-11-04,Single-player;Multi-player,Action;Casual;Indie;Simulation;Sports;Early Access,Early Access;Sports;Action,28,5,0,Sports,Multiplayer
408930,ePic Character Generator,2015-11-05,Steam Trading Cards;Steam Workshop,Animation & Modeling;Design & Illustration;Photo Editing;Utilities;Web Publishing;Game Development,Design & Illustration;Photo Editing;Utilities,77,89,0,Utilities,Unknown
316370,Wave of Darkness,2015-11-05,Single-player;Steam Achievements;Steam Trading Cards;Includes level editor,Action;Indie;RPG,Action;RPG;Indie,49,39,0,RPG,Singleplayer
374990,Orc Slayer,2015-11-05,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;FPS;Indie,8,7,0,Action,Singleplayer
377670,G-senjou no Maou - The Devil on G-String,2015-11-05,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual;Simulation,Visual Novel;Anime;Story Rich,290,12,58,Adventure,Singleplayer
388410,Darksiders II Deathinitive Edition,2015-11-05,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Adventure;RPG,Action;Adventure;Hack and Slash,5935,2063,861,Adventure,Singleplayer
398530,Ghost Cleaner,2015-11-05,Single-player;Steam Achievements,Casual;Indie,Casual;Indie;Puzzle,11,9,0,Casual,Singleplayer
399890,The Secret Order 2: Masked Intent,2015-11-05,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Casual;Adventure;Hidden Object,162,46,224,Adventure,Singleplayer
414260,Ironclads 2: American Civil War,2015-11-05,Single-player;Steam Achievements;Steam Trading Cards,Simulation;Strategy,Strategy;Simulation;Naval,28,10,0,Simulation,Singleplayer
416340,Viking Saga: New World,2015-11-05,Single-player,Adventure;Casual;Simulation;Strategy,Strategy;Casual;Adventure,15,4,0,Adventure,Singleplayer
288260,Conflicks - Revolutionary Space Battles,2015-11-05,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie;Strategy,Strategy;Indie;Action,120,52,0,Action,Multiplayer
290530,Clandestine,2015-11-05,Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Indie,Stealth;Co-op;Hacking,294,79,168,Action,Multiplayer
311210,Call of Duty®: Black Ops III,2015-11-05,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Valve Anti-Cheat enabled;Steam Leaderboards,Action;Adventure,Multiplayer;FPS;Zombies,36255,23157,2513,Action,Multiplayer
375600,Air Brawl,2015-11-05,Multi-player;Partial Controller Support,Action;Indie,Action;Indie;Flight,734,268,8,Action,Multiplayer
401170,Birth of Shadows®,2015-11-05,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Includes level editor,Action;Indie;RPG;Strategy,Action;Indie;Strategy,4,1,0,Strategy,Multiplayer
416350,MiniBikers,2015-11-05,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards,Indie;Racing;Sports,Racing;Indie;Sports,28,33,0,Sports,Multiplayer
270230,Prominence,2015-11-06,Single-player;Steam Achievements,Adventure;Casual;Indie,Adventure;Indie;Casual,69,12,0,Adventure,Singleplayer
287980,Mini Metro,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;Simulation;Strategy,Strategy;Simulation;Indie,7464,288,256,Simulation,Singleplayer
355020,Bomb The Monsters!,2015-11-06,Single-player,Action;Adventure;Casual;Strategy,Action;Adventure;Casual,14,11,0,Adventure,Singleplayer
374830,Defend The Highlands,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats,Indie;Strategy,Strategy;Indie;Comedy,232,62,590,Strategy,Singleplayer
403180,Draw a Stickman: EPIC 2,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Casual;Indie,233,55,0,Adventure,Singleplayer
407980,Sakura Beach 2,2015-11-06,Single-player;Steam Trading Cards,Sexual Content;Nudity;Casual;Indie,Nudity;Anime;Mature,286,100,738,Nudity,Singleplayer
409380,Among the Heavens,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Casual;Simulation,Casual;Simulation;Match 3,210,39,239,Simulation,Singleplayer
409450,The Fall of the Dungeon Guardians - Enhanced Edition,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,Indie;RPG;Strategy,RPG;Dungeon Crawler;Grid-Based Movement,356,62,0,RPG,Singleplayer
411760,Swordbreaker The Game,2015-11-06,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Adventure;Indie;Interactive Fiction,272,48,477,Adventure,Singleplayer
416080,The Odyssey: Winds of Athena,2015-11-06,Single-player;Steam Trading Cards,Action;Adventure;Indie;Simulation;Strategy,Indie;Simulation;Strategy,331,181,338,Strategy,Singleplayer
416170,HotLead,2015-11-06,Single-player;Steam Trading Cards,Action;Adventure,Action;Adventure;Short,88,177,124,Adventure,Singleplayer
416640,Diabolical,2015-11-06,Single-player;Steam Achievements;Captions available;Steam Cloud,Indie;RPG,Indie;RPG;Choose Your Own Adventure,93,23,0,RPG,Singleplayer
400170,The Incredible Adventures of Van Helsing: Final Cut,2015-11-06,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Adventure;Indie;RPG,RPG;Adventure;Action,1190,457,125,Adventure,Multiplayer
377160,Fallout 4,2015-11-09,Single-player;Steam Achievements;Full controller support;Steam Cloud,RPG,Open World;Post-apocalyptic;Exploration,110376,45377,2904,RPG,Singleplayer
397360,Magician's Apprentice,2015-11-09,Single-player;Steam Trading Cards;Steam Cloud,Action;Indie;RPG;Early Access,Early Access;Action;Indie,4,7,0,Action,Singleplayer
397960,Mystery Expedition: Prisoners of Ice,2015-11-09,Single-player;Steam Achievements,Adventure;Casual,Adventure;Casual;Hidden Object,8,2,0,Adventure,Singleplayer
398980,Without Within 2,2015-11-09,Single-player;Steam Achievements;Steam Trading Cards,Indie,Indie;Visual Novel;Anime,181,21,0,Indie,Singleplayer
413470,Where Angels Cry: Tears of the Fallen (Collector's Edition),2015-11-09,Single-player,Adventure,Adventure;Hidden Object;Point & Click,9,4,0,Adventure,Singleplayer
