appid,name,release_date,categories,genres,steamspy_tags,positive_ratings,negative_ratings,median_playtime,appid
252550,Qbeh-1: The Atlas Cube,2014-05-15,Single-player;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Includes level editor,Adventure;Casual;Indie,Puzzle;Indie;Casual,515,67,0,252550
268520,Orc Attack: Flatulent Rebellion,2014-05-15,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Action;Adventure;Indie,Action;Adventure;Indie,29,32,0,268520
269790,DreadOut,2014-05-15,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Indie,Horror;Indie;Adventure,2431,784,180,269790
282100,Fearless Fantasy,2014-05-15,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;RPG,RPG;Indie;Action,388,100,854,282100
284790,Nightmares from the Deep 2: The Siren`s Call,2014-05-15,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Hidden Object;Adventure;Casual,561,24,0,284790
288690,Sudokuball Detective,2014-05-15,Single-player,Casual,Casual;Puzzle,5,13,0,288690
292260,"Spy Fox 3 ""Operation Ozone""",2014-05-15,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,58,11,0,292260
294540,Freddi Fish 3: The Case of the Stolen Conch Shell,2014-05-15,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,117,8,0,294540
294670,Putt-Putt® Travels Through Time,2014-05-15,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Masterpiece,132,14,0,294670
294720,Putt-Putt® and Fatty Bear's Activity Pack,2014-05-15,Single-player;Steam Cloud,Casual,Casual;Family Friendly;Point & Click,46,9,0,294720
298140,Rhiannon: Curse of the Four Branches,2014-05-15,Single-player,Adventure;Indie,Adventure;Indie;Point & Click,61,32,0,298140
299170,Vault Cracker,2014-05-15,Single-player,Adventure,Adventure;Hidden Object;Point & Click,12,19,0,299170
299180,Millionaire Manor,2014-05-15,Single-player,Adventure,Adventure;Hidden Object;Puzzle,39,34,0,299180
300910,Monster Challenge Circus,2014-05-15,Single-player,Action,Action,6,22,0,300910
248570,Toribash,2014-05-16,Single-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Includes level editor,Action;Free to Play;Indie;Strategy,Free to Play;Fighting;Multiplayer,11143,1563,42,248570
277510,Shiny The Firefly,2014-05-16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Adventure;Casual;Indie,Indie;Action;Adventure,53,42,0,277510
279520,Rage Runner,2014-05-16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Stats;Steam Leaderboards;Includes level editor,Action;Casual;Indie;Racing;Simulation,Racing;Action;Indie,25,21,0,279520
282800,100% Orange Juice,2014-05-16,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards,Indie;Strategy,Anime;Board Game;Cute,10605,794,1843,282800
284930,Speed Kills,2014-05-16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie;Racing,Racing;Action;Indie,188,186,323,284930
290460,Legionwood 2: Rise of the Eternal's Realm - Director's Cut,2014-05-16,Single-player;Full controller support;Steam Cloud,Casual;RPG,RPG;Casual;RPGMaker,27,21,0,290460
290990,Flower Shop: Summer In Fairbrook,2014-05-16,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Casual;Indie;Simulation,Visual Novel;Simulation;Indie,79,35,0,290990
292420,Panzer Elite Action Gold Edition,2014-05-16,Single-player;Multi-player,Action;Simulation,Simulation;Action;Tanks,49,47,0,292420
292570,Chompy Chomp Chomp,2014-05-16,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie,Indie;Action;Local Co-Op,359,164,232,292570
293880,Dark Scavenger,2014-05-16,Single-player;Steam Trading Cards,Adventure;Casual;Indie;RPG,RPG;Indie;Adventure,167,26,295,293880
300510,Them - The Summoning,2014-05-16,Single-player,Casual,Casual;Hidden Object;Point & Click,11,31,0,300510
300540,Sweet Lily Dreams,2014-05-16,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,RPG;Adventure;Indie,58,62,40,300540
301150,The Treasures of Montezuma 4,2014-05-16,Single-player;Steam Achievements;Steam Trading Cards;Commentary available,Adventure;Casual;Indie,Casual;Match 3;Indie,318,58,0,301150
301190,Frederic: Resurrection of Music,2014-05-16,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Casual;Indie,Indie;Casual;Music,715,127,311,301190
301750,RADical ROACH Remastered,2014-05-16,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Casual;Indie;Simulation;Strategy,Indie;Action;Casual,541,491,357,301750
